transaction_id,car_id,brand,model,manufacturing_year,car_age,fuel_type,transmission,kms_driven,listed_price,sold_price,price_difference,seller_city,seller_state,listing_date,sold_date,days_on_platform,sold_month,sold_year,is_premium_brand,car_condition,seller_rating,customer_segment,expected_market_price,price_bucket,conversion_rate,is_festive_season,sold_month_name,sold_month_num,sale_flag
2114,7936,Toyota,Fortuner,2024,1,Cng,Automatic,99361,2159778,2095546,64232,Pune,Punjab,30-03-2020,06-05-2020,67,6,2020,0,Excellent,4.1,Premium,2051789,High,0.03,0,May,5,1
2115,1874,Mahindra,Xuv500,2022,3,Diesel,Manual,181946,2469741,2402540,67201,Mumbai,Maharashtra,01-02-2023,15-11-2019,23,2,2023,0,Good,4.3,Premium,2099279,High,0.07,0,Nov,11,1
2116,8214,Bmw,X3,2023,2,Electric,Manual,117072,1101125,1021338,79787,Chandigarh,Rajasthan,29-01-2021,03-12-2021,42,3,2021,1,Excellent,3.6,Mid,991012,Medium,0.08,0,Dec,12,1
2117,7685,Maruti,Swift,2023,2,Electric,Automatic,53076,905995,904201,1794,Mumbai,Maharashtra,24-08-2019,14-02-2021,37,9,2019,0,Excellent,3.6,Mid,815395,Medium,0.07,0,Feb,2,1
2118,2013,Maruti,Wagonr,2023,2,Cng,Manual,101377,640030,543786,96244,Mumbai,Punjab,19-09-2021,12-08-2021,80,12,2021,0,Excellent,4.9,Mid,576027,Medium,0.03,0,Aug,8,1
2119,6636,Audi,A4,2022,3,Diesel,Automatic,6105,2403713,2346753,56960,Delhi,Karnataka,10-07-2019,06-11-2023,50,8,2019,1,Good,3.6,Premium,2043156,High,0.08,0,Nov,11,1
2120,7041,Audi,A4,2020,5,Petrol,Automatic,139604,976485,838606,137879,Bangalore,Rajasthan,23-03-2020,04-09-2024,30,4,2020,1,Good,4.1,Mid,732363,Medium,0.06,0,Sep,9,1
2121,8128,Hyundai,Verna,2021,4,Diesel,Manual,65030,979944,913052,66892,Pune,Karnataka,22-01-2024,05-02-2024,101,5,2024,0,Good,3.7,Mid,783955,Medium,0.03,0,Feb,2,1
2122,9842,Maruti,Baleno,2023,2,Diesel,Manual,45476,1071396,910668,160728,Delhi,Punjab,21-04-2020,06-10-2020,50,6,2020,0,Excellent,4.2,Mid,964256,Medium,0.04,0,Oct,10,1
2123,5304,Toyota,Innova,2019,6,Electric,Automatic,182775,898707,725562,173145,Mumbai,Maharashtra,06-09-2020,11-12-2020,67,11,2020,0,Fair,3.4,Mid,629094,Medium,0.06,1,Dec,12,1
2124,3256,Mahindra,Scorpio,2023,2,Petrol,Automatic,131085,2036324,1868166,168158,Bangalore,Maharashtra,24-11-2019,03-04-2020,101,3,2020,0,Excellent,3.5,Premium,1832691,High,0.03,0,Apr,4,1
2125,3614,Audi,Q3,2019,6,Electric,Automatic,60450,2258267,2181274,76993,Chandigarh,Delhi,14-01-2021,03-11-2021,56,3,2021,1,Fair,3.5,Premium,1580786,High,0.06,0,Nov,11,1
2126,5629,Mahindra,Xuv500,2022,3,Electric,Automatic,63121,1405307,1301389,103918,Delhi,Punjab,18-09-2021,01-03-2022,107,1,2022,0,Good,3.5,Premium,1194510,High,0.04,0,Mar,3,1
2127,5531,Hyundai,Creta,2020,5,Petrol,Manual,110158,604667,541496,63171,Delhi,Punjab,09-08-2020,10-01-2020,53,10,2020,0,Good,3.3,Mid,453500,Medium,0.02,1,Jan,1,1
2128,5212,Bmw,X1,2012,13,Diesel,Automatic,31327,371729,199076,172653,Chandigarh,Punjab,06-06-2019,26-03-2022,14,6,2019,1,Poor,4,Budget,130105,Low,0.11,0,Mar,3,1
2129,1179,Tata,Nexon,2020,5,Petrol,Automatic,97754,1794967,1726858,68109,Mumbai,Maharashtra,19-12-2020,27-06-2025,38,1,2021,0,Good,4.8,Premium,1346225,High,0.03,0,Jun,6,1
2130,4726,Hyundai,Creta,2012,13,Petrol,Automatic,9730,721297,605373,115924,Pune,Maharashtra,19-08-2023,12-05-2023,108,12,2023,0,Poor,4.1,Mid,252453,Medium,0.03,0,May,5,1
2131,4861,Toyota,Fortuner,2021,4,Cng,Automatic,108781,1564436,1526560,37876,Chandigarh,Maharashtra,12-01-2019,02-07-2019,26,2,2019,0,Good,3.9,Premium,1251548,High,0.05,0,Jul,7,1
2132,9718,Toyota,Innova,2024,1,Cng,Manual,187563,2326731,2187929,138802,Jaipur,Punjab,15-08-2022,10-01-2022,47,10,2022,0,Excellent,4.2,Premium,2210394,High,0.07,1,Jan,1,1
2133,4514,Mahindra,Scorpio,2017,8,Cng,Manual,199034,1283482,1272095,11387,Delhi,Maharashtra,04-11-2022,03-03-2023,119,3,2023,0,Fair,3.5,Premium,770089,High,0.06,0,Mar,3,1
2134,6108,Maruti,Swift,2016,9,Cng,Manual,23057,768084,603707,164377,Mumbai,Karnataka,09-04-2019,07-04-2023,80,6,2019,0,Poor,4.1,Mid,422446,Medium,0.05,0,Apr,4,1
2135,1878,Bmw,X1,2021,4,Diesel,Manual,116013,2389257,2339431,49826,Delhi,Maharashtra,25-03-2021,07-06-2021,103,7,2021,1,Good,4.4,Premium,1911405,High,0.08,0,Jun,6,1
2136,4878,Bmw,X3,2018,7,Cng,Automatic,62960,724548,580439,144109,Pune,Rajasthan,07-09-2020,02-10-2021,72,11,2020,1,Fair,4.8,Mid,470956,Medium,0.03,1,Oct,10,1
2137,6003,Hyundai,I20,2023,2,Cng,Manual,25946,419081,241154,177927,Chandigarh,Maharashtra,26-12-2022,04-12-2023,107,4,2023,0,Excellent,3.3,Budget,377172,Low,0.07,0,Dec,12,1
2138,4376,Honda,Amaze,2020,5,Petrol,Manual,16827,916872,808619,108253,Pune,Rajasthan,14-06-2024,09-04-2024,82,9,2024,0,Good,3.3,Mid,687654,Medium,0.05,0,Apr,4,1
2139,7906,Audi,A4,2012,13,Diesel,Automatic,123654,1312057,1195876,116181,Delhi,Maharashtra,28-02-2020,11-10-2020,83,5,2020,1,Poor,3.8,Mid,459219,Medium,0.06,0,Oct,10,1
2140,4063,Mahindra,Scorpio,2013,12,Petrol,Automatic,179265,1515392,1429922,85470,Delhi,Maharashtra,26-11-2021,19-05-2022,23,12,2021,0,Poor,3.8,Premium,606156,High,0.08,0,May,5,1
2141,3899,Tata,Harrier,2023,2,Diesel,Automatic,171806,2336394,2170284,166110,Jaipur,Maharashtra,19-12-2020,03-10-2021,81,3,2021,0,Excellent,4.4,Premium,2102754,High,0.06,0,Oct,10,1
2142,2176,Toyota,Fortuner,2020,5,Cng,Automatic,58882,924839,879209,45630,Jaipur,Maharashtra,25-03-2019,20-08-2021,118,7,2019,0,Good,3.4,Mid,693629,Medium,0.04,0,Aug,8,1
2143,9751,Audi,A4,2020,5,Diesel,Manual,11202,2100605,1975524,125081,Bangalore,Maharashtra,01-12-2020,26-09-2020,49,1,2021,1,Good,4.5,Premium,1575453,High,0.04,0,Sep,9,1
2144,1812,Maruti,Baleno,2013,12,Diesel,Manual,62399,1998878,1834969,163909,Delhi,Maharashtra,13-04-2021,06-08-2021,56,6,2021,0,Poor,4.5,Premium,799551,High,0.08,0,Aug,8,1
2145,7597,Mahindra,Scorpio,2014,11,Diesel,Automatic,64975,1173450,1121960,51490,Pune,Delhi,23-01-2020,10-01-2024,119,5,2020,0,Poor,3.5,Mid,528052,Medium,0.03,0,Jan,1,1
2146,6967,Honda,Amaze,2015,10,Cng,Manual,165850,1913451,1754107,159344,Bangalore,Karnataka,29-07-2023,14-08-2025,88,10,2023,0,Poor,3.3,Premium,956725,High,0.06,1,Aug,8,1
2147,8793,Audi,Q3,2016,9,Cng,Manual,34707,1204759,1114888,89871,Pune,Maharashtra,28-01-2019,04-07-2019,69,4,2019,1,Poor,3.7,Mid,662617,Medium,0.03,0,Jul,7,1
2148,5155,Bmw,X1,2022,3,Cng,Automatic,55187,607190,558920,48270,Chandigarh,Maharashtra,07-05-2020,25-12-2025,101,8,2020,1,Good,4.8,Mid,516111,Medium,0.06,0,Dec,12,1
2149,3327,Audi,A4,2016,9,Petrol,Manual,154796,570383,502932,67451,Chandigarh,Maharashtra,05-03-2024,06-04-2021,21,3,2024,1,Poor,3.5,Mid,313710,Medium,0.08,0,Apr,4,1
2150,6117,Hyundai,Verna,2017,8,Electric,Manual,127675,1659258,1480239,179019,Mumbai,Rajasthan,22-03-2022,05-09-2022,48,5,2022,0,Fair,4,Premium,995554,High,0.08,0,Sep,9,1
2151,8365,Mahindra,Scorpio,2014,11,Diesel,Manual,113814,1593246,1443973,149273,Jaipur,Karnataka,13-02-2024,18-08-2025,60,4,2024,0,Poor,4.8,Premium,716960,High,0.04,0,Aug,8,1
2152,4428,Audi,Q3,2012,13,Diesel,Manual,124127,875341,873808,1533,Pune,Rajasthan,16-03-2024,04-07-2024,22,4,2024,1,Poor,4.8,Mid,306369,Medium,0.07,0,Jul,7,1
2153,4966,Bmw,X3,2024,1,Petrol,Manual,126797,2186251,2046147,140104,Delhi,Maharashtra,07-01-2022,05-06-2022,119,5,2022,1,Excellent,4.5,Premium,2076938,High,0.03,0,Jun,6,1
2154,4608,Bmw,X1,2013,12,Diesel,Manual,161049,209385,30239,179146,Delhi,Punjab,28-11-2019,06-01-2025,21,12,2019,1,Poor,3.8,Budget,83753,Low,0.06,0,Jan,1,1
2155,4269,Audi,A4,2015,10,Petrol,Automatic,98506,561664,542835,18829,Bangalore,Maharashtra,10-02-2023,03-01-2023,19,3,2023,1,Poor,4.2,Mid,280832,Medium,0.1,0,Jan,1,1
2156,2603,Hyundai,Creta,2020,5,Petrol,Automatic,42739,1110387,967193,143194,Bangalore,Maharashtra,22-11-2023,17-04-2020,8,11,2023,0,Good,3.2,Mid,832790,Medium,0.05,1,Apr,4,1
2157,6582,Audi,Q3,2022,3,Diesel,Automatic,128248,1352125,1234721,117404,Pune,Maharashtra,15-06-2022,25-01-2020,76,8,2022,1,Good,4.1,Premium,1149306,High,0.04,0,Jan,1,1
2158,8683,Tata,Nexon,2012,13,Diesel,Manual,148528,1435993,1415580,20413,Chandigarh,Karnataka,11-09-2019,31-10-2020,34,10,2019,0,Poor,4.1,Premium,502597,High,0.04,1,Oct,10,1
2159,5274,Bmw,X1,2012,13,Electric,Automatic,97328,1108209,1008289,99920,Bangalore,Rajasthan,04-06-2024,07-12-2024,38,7,2024,1,Poor,4.8,Mid,387873,Medium,0.07,0,Dec,12,1
2160,1833,Audi,Q3,2020,5,Diesel,Manual,75115,1744706,1662807,81899,Chandigarh,Delhi,09-07-2024,09-11-2024,64,9,2024,1,Good,4.6,Premium,1308529,High,0.06,0,Nov,11,1
2161,1655,Mahindra,Xuv500,2016,9,Petrol,Automatic,137224,914583,831677,82906,Pune,Delhi,26-05-2023,26-01-2019,28,6,2023,0,Poor,3.8,Mid,503020,Medium,0.12,0,Jan,1,1
2162,2644,Toyota,Innova,2016,9,Cng,Manual,108635,773074,659978,113096,Delhi,Punjab,11-08-2020,03-12-2024,74,10,2020,0,Poor,4.6,Mid,425190,Medium,0.04,1,Dec,12,1
2163,6503,Maruti,Wagonr,2024,1,Cng,Automatic,66223,1471500,1340910,130590,Delhi,Karnataka,12-07-2023,09-08-2025,43,8,2023,0,Excellent,3.4,Premium,1397925,High,0.07,0,Aug,8,1
2164,8065,Toyota,Fortuner,2021,4,Diesel,Manual,167692,920236,892143,28093,Bangalore,Punjab,18-09-2020,11-02-2020,45,11,2020,0,Good,3.8,Mid,736188,Medium,0.07,1,Feb,2,1
2165,4213,Bmw,X3,2012,13,Diesel,Manual,199767,688297,543682,144615,Chandigarh,Delhi,27-08-2022,19-12-2022,79,11,2022,1,Poor,4.6,Mid,240903,Medium,0.07,1,Dec,12,1
2166,4725,Audi,A4,2016,9,Cng,Manual,27295,2071920,1895725,176195,Jaipur,Punjab,23-11-2024,17-07-2023,86,2,2025,1,Poor,3.3,Premium,1139556,High,0.06,0,Jul,7,1
2167,2112,Toyota,Fortuner,2023,2,Electric,Manual,178793,327317,215655,111662,Chandigarh,Delhi,25-05-2020,09-05-2020,103,9,2020,0,Excellent,4.4,Budget,294585,Low,0.03,0,May,5,1
2168,3012,Audi,Q3,2019,6,Petrol,Manual,146438,408920,228935,179985,Chandigarh,Delhi,04-07-2024,07-11-2024,7,7,2024,1,Fair,3.7,Budget,286244,Low,0.06,0,Nov,11,1
2169,9434,Audi,Q3,2020,5,Diesel,Automatic,152417,2312283,2193068,119215,Chandigarh,Karnataka,11-04-2024,02-09-2020,35,5,2024,1,Good,4.3,Premium,1734212,High,0.05,0,Sep,9,1
2170,4127,Bmw,X3,2015,10,Cng,Automatic,169451,2480390,2434863,45527,Delhi,Karnataka,30-06-2024,10-10-2024,102,10,2024,1,Poor,3.7,Premium,1240195,High,0.05,1,Oct,10,1
2171,4557,Mahindra,Scorpio,2023,2,Petrol,Manual,110061,366095,343648,22447,Mumbai,Punjab,02-01-2023,02-11-2023,40,2,2023,0,Excellent,4.5,Budget,329485,Low,0.05,0,Nov,11,1
2172,6877,Toyota,Fortuner,2023,2,Electric,Manual,108576,2189272,2174317,14955,Pune,Karnataka,16-03-2020,07-06-2020,112,7,2020,0,Excellent,4.1,Premium,1970344,High,0.07,0,Jun,6,1
2173,6207,Tata,Harrier,2018,7,Petrol,Automatic,182043,2370735,2370154,581,Pune,Maharashtra,10-04-2019,03-01-2025,99,7,2019,0,Fair,3.2,Premium,1540977,High,0.03,0,Jan,1,1
2174,1665,Toyota,Innova,2021,4,Diesel,Automatic,87315,1956974,1827172,129802,Mumbai,Punjab,08-08-2024,03-07-2021,80,10,2024,0,Good,3.3,Premium,1565579,High,0.04,1,Jul,7,1
2175,4839,Tata,Nexon,2021,4,Diesel,Automatic,96625,2400755,2371068,29687,Mumbai,Delhi,09-12-2021,16-09-2025,45,1,2022,0,Good,4.2,Premium,1920604,High,0.08,0,Sep,9,1
2176,4803,Audi,A4,2019,6,Diesel,Automatic,128069,887605,728761,158844,Chandigarh,Karnataka,14-07-2020,10-01-2020,79,10,2020,1,Fair,4.8,Mid,621323,Medium,0.07,1,Jan,1,1
2177,7101,Maruti,Baleno,2012,13,Cng,Manual,37901,1226251,1089643,136608,Chandigarh,Rajasthan,20-04-2024,06-11-2024,52,6,2024,0,Poor,4.6,Mid,429187,Medium,0.03,0,Nov,11,1
2178,6354,Mahindra,Xuv500,2012,13,Petrol,Manual,151959,351454,314942,36512,Pune,Maharashtra,09-08-2021,28-08-2022,98,11,2021,0,Poor,3.4,Budget,123008,Low,0.04,1,Aug,8,1
2179,3326,Tata,Harrier,2023,2,Electric,Manual,7419,457554,456170,1384,Chandigarh,Delhi,22-11-2019,04-06-2025,33,12,2019,0,Excellent,3.8,Budget,411798,Low,0.07,0,Jun,6,1
2180,3774,Mahindra,Xuv500,2024,1,Diesel,Manual,132663,2439843,2289511,150332,Mumbai,Punjab,25-06-2019,16-06-2021,30,7,2019,0,Excellent,4.9,Premium,2317850,High,0.13,0,Jun,6,1
2181,3783,Maruti,Wagonr,2024,1,Cng,Automatic,89424,1159331,1123467,35864,Jaipur,Maharashtra,03-05-2020,06-01-2021,84,7,2020,0,Excellent,3.3,Mid,1101364,Medium,0.08,0,Jan,1,1
2182,7883,Mahindra,Scorpio,2017,8,Cng,Manual,124365,990557,901549,89008,Chandigarh,Punjab,21-08-2019,20-02-2020,26,9,2019,0,Fair,4.2,Mid,594334,Medium,0.1,0,Feb,2,1
2183,5932,Toyota,Innova,2021,4,Cng,Automatic,47115,576242,434502,141740,Jaipur,Rajasthan,18-07-2024,10-07-2024,81,10,2024,0,Good,4.1,Budget,460993,Low,0.03,1,Jul,7,1
2184,5131,Honda,Amaze,2015,10,Petrol,Automatic,70250,1714563,1546417,168146,Chandigarh,Maharashtra,14-09-2019,26-10-2023,68,11,2019,0,Poor,3.4,Premium,857281,High,0.02,1,Oct,10,1
2185,7648,Maruti,Wagonr,2012,13,Petrol,Manual,56057,1840465,1668365,172100,Jaipur,Delhi,10-08-2021,18-02-2020,9,8,2021,0,Poor,4.8,Premium,644162,High,0.06,0,Feb,2,1
2186,7315,Bmw,X3,2018,7,Electric,Automatic,39247,1386079,1256098,129981,Jaipur,Rajasthan,31-10-2019,20-01-2022,22,11,2019,1,Fair,3.3,Premium,900951,High,0.1,1,Jan,1,1
2187,7917,Maruti,Baleno,2019,6,Diesel,Automatic,98261,2138510,2122916,15594,Mumbai,Maharashtra,25-06-2020,13-11-2020,30,7,2020,0,Fair,3.6,Premium,1496957,High,0.1,0,Nov,11,1
2188,5527,Hyundai,Creta,2023,2,Petrol,Automatic,186237,2132732,1995191,137541,Mumbai,Rajasthan,20-11-2024,31-03-2025,61,1,2025,0,Excellent,4.5,Premium,1919458,High,0.08,0,Mar,3,1
2189,3820,Maruti,Swift,2020,5,Diesel,Manual,160660,1789584,1678347,111237,Mumbai,Punjab,08-12-2021,23-11-2020,13,12,2021,0,Good,4.2,Premium,1342188,High,0.1,0,Nov,11,1
2190,6817,Honda,City,2023,2,Diesel,Automatic,90385,2006478,1830291,176187,Bangalore,Delhi,12-11-2021,12-02-2021,74,1,2022,0,Excellent,4.6,Premium,1805830,High,0.05,0,Feb,2,1
2191,5740,Maruti,Wagonr,2022,3,Electric,Automatic,5199,1882555,1736680,145875,Pune,Karnataka,07-02-2019,05-05-2019,87,5,2019,0,Good,3.9,Premium,1600171,High,0.04,0,May,5,1
2192,9694,Honda,Amaze,2023,2,Electric,Automatic,15291,1623724,1543596,80128,Delhi,Rajasthan,26-05-2019,18-02-2021,61,7,2019,0,Excellent,4.3,Premium,1461351,High,0.04,0,Feb,2,1
2193,3594,Maruti,Wagonr,2015,10,Diesel,Automatic,171089,2464818,2446959,17859,Bangalore,Delhi,28-01-2019,10-11-2021,24,2,2019,0,Poor,4.9,Premium,1232409,High,0.09,0,Nov,11,1
2194,6227,Toyota,Innova,2014,11,Petrol,Automatic,142180,1518171,1460997,57174,Chandigarh,Rajasthan,04-10-2019,11-02-2019,29,11,2019,0,Poor,4,Premium,683176,High,0.06,1,Feb,2,1
2195,7262,Toyota,Fortuner,2015,10,Electric,Manual,175359,1575321,1517466,57855,Bangalore,Maharashtra,07-09-2021,26-02-2024,41,10,2021,0,Poor,3.3,Premium,787660,High,0.07,1,Feb,2,1
2196,7039,Hyundai,I20,2022,3,Petrol,Automatic,129725,2339832,2166292,173540,Jaipur,Punjab,07-04-2020,08-03-2021,36,5,2020,0,Good,3.4,Premium,1988857,High,0.05,0,Mar,3,1
2197,8686,Bmw,X1,2022,3,Diesel,Manual,15185,393806,330181,63625,Pune,Delhi,12-03-2024,05-10-2024,59,5,2024,1,Good,3.4,Budget,334735,Low,0.06,0,Oct,10,1
2198,7708,Audi,A4,2021,4,Diesel,Manual,84757,1259313,1093380,165933,Delhi,Karnataka,22-03-2024,04-12-2025,58,5,2024,1,Good,4.2,Mid,1007450,Medium,0.08,0,Dec,12,1
2199,3419,Tata,Nexon,2014,11,Electric,Manual,132216,587107,504140,82967,Pune,Karnataka,16-03-2019,14-10-2022,33,4,2019,0,Poor,3.5,Mid,264198,Medium,0.04,0,Oct,10,1
2200,9137,Audi,Q3,2013,12,Diesel,Manual,77536,706962,691613,15349,Chandigarh,Rajasthan,24-05-2023,10-08-2023,120,9,2023,1,Poor,4.3,Mid,282784,Medium,0.08,0,Aug,8,1
2201,6239,Honda,Amaze,2017,8,Diesel,Automatic,93338,323151,220908,102243,Chandigarh,Punjab,11-11-2022,11-10-2019,96,2,2023,0,Fair,3.7,Budget,193890,Low,0.02,0,Oct,10,1
2202,9520,Toyota,Fortuner,2022,3,Diesel,Automatic,141429,284666,165502,119164,Bangalore,Karnataka,19-02-2023,23-12-2020,56,4,2023,0,Good,3.4,Budget,241966,Low,0.02,0,Dec,12,1
2203,6997,Tata,Harrier,2020,5,Electric,Automatic,115201,694001,525296,168705,Bangalore,Maharashtra,20-08-2024,19-11-2025,56,10,2024,0,Good,4.9,Mid,520500,Medium,0.04,1,Nov,11,1
2204,7855,Honda,Amaze,2022,3,Electric,Manual,64881,1777683,1730830,46853,Jaipur,Maharashtra,26-10-2021,12-03-2021,38,12,2021,0,Good,4.6,Premium,1511030,High,0.07,0,Mar,3,1
2205,4014,Bmw,X3,2022,3,Petrol,Manual,88202,1514056,1436942,77114,Delhi,Karnataka,29-08-2023,27-10-2025,62,10,2023,1,Good,4.7,Premium,1286947,High,0.04,1,Oct,10,1
2206,2038,Tata,Nexon,2021,4,Petrol,Automatic,34859,231675,187213,44462,Jaipur,Maharashtra,10-02-2021,16-07-2023,16,2,2021,0,Good,3.7,Budget,185340,Low,0.11,0,Jul,7,1
2207,3065,Honda,City,2014,11,Petrol,Automatic,71440,930666,797261,133405,Chandigarh,Maharashtra,26-04-2022,24-09-2021,59,6,2022,0,Poor,3.4,Mid,418799,Medium,0.07,0,Sep,9,1
2208,5177,Tata,Harrier,2015,10,Diesel,Manual,62333,1704268,1677944,26324,Jaipur,Punjab,07-12-2020,02-11-2021,66,2,2021,0,Poor,4.5,Premium,852134,High,0.05,0,Nov,11,1
2209,4194,Audi,Q3,2020,5,Cng,Manual,24714,1386197,1363724,22473,Jaipur,Delhi,25-09-2023,02-06-2023,79,12,2023,1,Good,4.7,Premium,1039647,High,0.05,0,Jun,6,1
2210,4307,Maruti,Wagonr,2021,4,Electric,Automatic,135591,661104,504137,156967,Chandigarh,Punjab,30-08-2021,10-08-2020,109,12,2021,0,Good,3.9,Mid,528883,Medium,0.03,0,Aug,8,1
2211,5040,Tata,Nexon,2021,4,Diesel,Manual,64881,1932983,1901043,31940,Pune,Delhi,02-05-2020,07-04-2020,63,7,2020,0,Good,3.5,Premium,1546386,High,0.08,0,Apr,4,1
2212,6438,Mahindra,Xuv500,2020,5,Petrol,Automatic,86368,1959801,1879550,80251,Jaipur,Delhi,01-06-2023,08-03-2023,63,8,2023,0,Good,4,Premium,1469850,High,0.03,0,Mar,3,1
2213,7184,Audi,Q3,2019,6,Cng,Automatic,192757,1314639,1159887,154752,Chandigarh,Delhi,08-08-2019,01-10-2020,14,8,2019,1,Fair,4.5,Mid,920247,Medium,0.05,0,Oct,10,1
2214,2929,Audi,Q3,2024,1,Diesel,Manual,69811,913819,796108,117711,Jaipur,Karnataka,28-06-2020,07-12-2020,116,10,2020,1,Excellent,4.6,Mid,868128,Medium,0.05,1,Dec,12,1
2215,4057,Tata,Nexon,2020,5,Cng,Manual,102394,1937043,1783020,154023,Bangalore,Punjab,16-01-2022,24-03-2020,15,1,2022,0,Good,3.4,Premium,1452782,High,0.15,0,Mar,3,1
2216,9770,Bmw,X1,2022,3,Petrol,Manual,195604,1976101,1883884,92217,Jaipur,Maharashtra,20-11-2024,14-10-2022,60,1,2025,1,Good,3.7,Premium,1679685,High,0.06,0,Oct,10,1
2217,2744,Toyota,Innova,2012,13,Electric,Manual,153896,1232689,1228362,4327,Jaipur,Maharashtra,17-06-2019,23-12-2021,63,8,2019,0,Poor,3.9,Premium,431441,High,0.05,0,Dec,12,1
2218,3293,Honda,Amaze,2015,10,Petrol,Automatic,79460,642610,485571,157039,Mumbai,Delhi,11-09-2022,08-06-2019,17,9,2022,0,Poor,3.9,Budget,321305,Low,0.1,0,Jun,6,1
2219,3825,Tata,Harrier,2015,10,Cng,Manual,101497,602435,578129,24306,Delhi,Punjab,31-05-2024,08-07-2019,19,6,2024,0,Poor,3.8,Mid,301217,Medium,0.1,0,Jul,7,1
2220,2851,Bmw,X3,2015,10,Electric,Automatic,31610,202865,89571,113294,Delhi,Delhi,14-03-2020,07-02-2020,110,7,2020,1,Poor,4.2,Budget,101432,Low,0.07,0,Feb,2,1
2221,7979,Honda,Amaze,2021,4,Cng,Automatic,174010,675820,628635,47185,Chandigarh,Punjab,13-05-2024,09-06-2024,116,9,2024,0,Good,4.5,Mid,540656,Medium,0.08,0,Jun,6,1
2222,2049,Honda,Amaze,2016,9,Petrol,Manual,187646,1069222,982783,86439,Mumbai,Punjab,18-09-2020,22-12-2025,10,9,2020,0,Poor,3.7,Mid,588072,Medium,0.05,0,Dec,12,1
2223,8849,Maruti,Swift,2016,9,Petrol,Automatic,67370,1894999,1777279,117720,Pune,Delhi,18-05-2022,16-04-2020,26,6,2022,0,Poor,3.9,Premium,1042249,High,0.14,0,Apr,4,1
2224,1675,Mahindra,Xuv500,2014,11,Cng,Automatic,134326,1981651,1840954,140697,Jaipur,Maharashtra,25-03-2022,06-10-2022,77,6,2022,0,Poor,4.1,Premium,891742,High,0.03,0,Oct,10,1
2225,6536,Toyota,Innova,2014,11,Diesel,Manual,38495,1236355,1227454,8901,Pune,Maharashtra,27-12-2024,16-07-2020,60,2,2025,0,Poor,4.6,Premium,556359,High,0.03,0,Jul,7,1
2226,4620,Honda,City,2021,4,Cng,Manual,179314,1245138,1087741,157397,Chandigarh,Maharashtra,07-01-2021,13-03-2023,73,3,2021,0,Good,3.5,Mid,996110,Medium,0.03,0,Mar,3,1
2227,4375,Bmw,X3,2020,5,Diesel,Automatic,61119,2150102,2055283,94819,Delhi,Maharashtra,16-10-2024,12-01-2024,46,12,2024,1,Good,3.3,Premium,1612576,High,0.06,0,Jan,1,1
2228,3184,Bmw,X3,2023,2,Petrol,Manual,74664,2038303,2001109,37194,Chandigarh,Rajasthan,28-10-2021,12-05-2021,38,12,2021,1,Excellent,4.8,Premium,1834472,High,0.05,0,May,5,1
2229,6137,Honda,Amaze,2019,6,Electric,Manual,16113,1179008,1176113,2895,Chandigarh,Maharashtra,23-01-2024,11-04-2020,54,3,2024,0,Fair,3.7,Mid,825305,Medium,0.05,0,Apr,4,1
2230,3238,Audi,Q3,2021,4,Cng,Automatic,16196,1646619,1632917,13702,Delhi,Karnataka,07-09-2019,14-03-2025,101,12,2019,1,Good,3.3,Premium,1317295,High,0.04,0,Mar,3,1
2231,7214,Audi,Q3,2015,10,Petrol,Manual,16046,572555,506767,65788,Pune,Karnataka,10-10-2023,11-05-2023,26,11,2023,1,Poor,4.5,Mid,286277,Medium,0.12,1,May,5,1
2232,9151,Audi,Q3,2016,9,Electric,Automatic,154157,389078,236638,152440,Delhi,Maharashtra,21-06-2019,31-08-2019,91,9,2019,1,Poor,4,Budget,213992,Low,0.07,0,Aug,8,1
2233,8955,Tata,Harrier,2018,7,Electric,Manual,151992,979606,924120,55486,Delhi,Delhi,27-11-2022,02-10-2022,109,3,2023,0,Fair,3.9,Mid,636743,Medium,0.07,0,Oct,10,1
2234,4897,Mahindra,Xuv500,2023,2,Petrol,Automatic,185269,1197152,1018049,179103,Bangalore,Maharashtra,02-02-2020,02-09-2020,16,2,2020,0,Excellent,3.8,Mid,1077436,Medium,0.07,0,Sep,9,1
2235,5526,Hyundai,Verna,2023,2,Diesel,Automatic,30136,2301384,2147534,153850,Mumbai,Rajasthan,20-11-2019,16-08-2025,37,12,2019,0,Excellent,3.9,Premium,2071245,High,0.03,0,Aug,8,1
2236,2491,Audi,A4,2013,12,Electric,Automatic,128115,394799,260341,134458,Jaipur,Delhi,27-09-2023,13-01-2023,29,10,2023,1,Poor,4.1,Budget,157919,Low,0.06,1,Jan,1,1
2237,1706,Maruti,Wagonr,2017,8,Petrol,Manual,28004,1419735,1341756,77979,Bangalore,Punjab,12-08-2024,03-01-2022,67,10,2024,0,Fair,3.7,Premium,851841,High,0.03,1,Jan,1,1
2238,1622,Honda,City,2022,3,Diesel,Automatic,82196,502088,350005,152083,Bangalore,Maharashtra,26-05-2023,06-02-2023,7,6,2023,0,Good,4.2,Budget,426774,Low,0.1,0,Feb,2,1
2239,3773,Hyundai,Creta,2021,4,Diesel,Manual,104694,1748018,1573856,174162,Jaipur,Maharashtra,16-09-2024,18-08-2021,58,11,2024,0,Good,4.7,Premium,1398414,High,0.03,1,Aug,8,1
